partition,date,hour
2020-10-26,2020-10-27,01:20
2020-10-27,2020-10-28,01:04
2020-10-28,2020-10-29,01:00
2020-10-29,2020-10-30,01:11
2020-10-30,2020-10-31,01:35
2020-11-02,2020-11-03,01:24
2020-11-03,2020-11-04,02:22
2020-11-04,2020-11-05,01:58
2020-11-05,2020-11-06,02:15
2020-11-06,2020-11-07,00:57
2020-11-09,2020-11-10,01:16
2020-11-10,2020-11-11,22:04
2020-11-11,2020-11-12,22:00
2020-11-12,2020-11-13,05:35
2020-11-13,2020-11-14,00:47
2020-11-16,2020-11-17,01:09
2020-11-17,2020-11-18,00:57
2020-11-18,2020-11-19,02:06
2020-11-19,2020-11-20,01:24
2020-11-20,2020-11-21,00:56
2020-11-23,2020-11-24,01:03
2020-11-24,2020-11-25,01:14
2020-11-25,2020-11-26,01:17
2020-11-26,2020-11-27,01:05
2020-11-27,2020-11-28,01:33
2020-11-30,2020-12-01,06:45
2020-12-01,2020-12-02,04:27
2020-12-02,2020-12-03,02:15
2020-12-03,2020-12-04,02:17
2020-12-04,2020-12-05,01:29
2020-12-07,2020-12-08,02:13
2020-12-09,2020-12-10,01:12
2020-12-10,2020-12-11,01:12
2020-12-11,2020-12-12,01:17
2020-12-14,2020-12-15,05:28
2020-12-15,2020-12-16,02:49
2020-12-16,2020-12-17,01:12
2020-12-17,2020-12-18,03:25
2020-12-18,2020-12-19,01:13
2020-12-21,2020-12-22,01:29
2020-12-22,2020-12-23,04:44
2020-12-23,2020-12-24,01:38
2020-12-24,2020-12-25,02:14
2020-12-28,2020-12-29,01:18
2020-12-29,2020-12-30,02:18
2020-12-30,2020-12-31,02:16
2020-12-31,2021-01-01,04:13
2021-01-04,2021-01-05,06:06
2021-01-05,2021-01-06,02:39
2021-01-07,2021-01-08,03:13
2021-01-08,2021-01-09,02:27
2021-01-11,2021-01-12,02:04
2021-01-12,2021-01-13,02:11
2021-01-13,2021-01-14,03:19
2021-01-14,2021-01-15,02:23
2021-01-15,2021-01-16,02:24
