partition,date,hour
2020-10-20,2020-10-21,00:17
2020-10-21,2020-10-21,23:12
2020-10-22,2020-10-23,00:23
2020-10-23,2020-10-24,01:09
2020-10-26,2020-10-27,01:19
2020-10-27,2020-10-28,00:15
2020-10-28,2020-10-29,01:10
2020-10-29,2020-10-30,09:24
2020-10-30,2020-10-31,03:09
2020-11-02,2020-11-03,00:26
2020-11-03,2020-11-04,01:08
2020-11-04,2020-11-05,01:49
2020-11-05,2020-11-06,00:28
2020-11-06,2020-11-07,02:10
2020-11-09,2020-11-10,00:10
2020-11-10,2020-11-11,02:30
2020-11-11,2020-11-12,22:09
2020-11-12,2020-11-13,05:59
2020-11-13,2020-11-15,12:28
2020-11-16,2020-11-17,00:10
2020-11-17,2020-11-18,00:18
2020-11-18,2020-11-19,01:21
2020-11-19,2020-11-20,01:17
2020-11-20,2020-11-21,02:10
2020-11-23,2020-11-24,01:10
2020-11-24,2020-11-25,00:10
2020-11-25,2020-11-26,00:32
2020-11-26,2020-11-27,00:10
2020-11-27,2020-11-28,02:13
2020-11-30,2020-12-01,19:47
2020-12-01,2020-12-02,03:43
2020-12-02,2020-12-03,01:48
2020-12-03,2020-12-04,00:39
2020-12-04,2020-12-05,04:17
2020-12-07,2020-12-08,23:09
2020-12-09,2020-12-10,00:16
2020-12-10,2020-12-11,00:11
2020-12-11,2020-12-12,04:28
2020-12-14,2020-12-15,01:14
2020-12-15,2020-12-16,01:56
2020-12-16,2020-12-17,01:14
2020-12-17,2020-12-18,02:22
2020-12-18,2020-12-19,03:10
2020-12-21,2020-12-22,01:10
2020-12-22,2020-12-23,00:09
2020-12-23,2020-12-24,01:11
2020-12-24,2020-12-25,00:10
2020-12-28,2020-12-29,01:14
2020-12-29,2020-12-30,00:11
2020-12-30,2020-12-31,01:11
2020-12-31,2021-01-01,02:10
2021-01-04,2021-01-05,01:09
2021-01-05,2021-01-06,01:17
2021-01-07,2021-01-08,00:09
2021-01-08,2021-01-09,02:09
2021-01-11,2021-01-12,00:09
2021-01-12,2021-01-13,00:20
2021-01-13,2021-01-14,00:13
2021-01-14,2021-01-15,00:15
2021-01-15,2021-01-16,02:12
2021-01-18,2021-01-19,00:13
2021-01-19,2021-01-20,02:09
2021-01-20,2021-01-21,00:12
2021-01-21,2021-01-22,00:12
2021-01-22,2021-01-23,02:13
